hello
 * Serving Flask app 'sherpa.app.app' (lazy loading)
 * Environment: production
   WARNING: This is a development server. Do not use it in a production deployment.
   Use a production WSGI server instead.
 * Debug mode: on
{'n_estimators': 300, 'learning_rate': 1.0, 'max_depth': 3, 'min_samples_split': 2, 'verbose': True}
      Iter       Train Loss   Remaining Time 
       100          22.0165           17.07s
{'n_estimators': 150, 'learning_rate': 0.05, 'max_depth': 1, 'min_samples_split': 6, 'verbose': True}
      Iter       Train Loss   Remaining Time 
         1          40.0396            4.23m
         2          39.7454            4.19m
         3          39.4691            4.20m
         4          39.2029            4.17m
         5          38.9436            4.14m
         6          38.7015            4.11m
         7          38.4674            4.08m
         8          38.2476            4.05m
         9          38.0287            4.01m
        10          37.8258            3.98m
        20          36.1505            3.70m
        30          34.9648            3.41m
        40          34.0634            3.13m
        50          33.3338            2.84m
        60          32.7422            2.56m
        70          32.2597            2.27m
        80          31.8627            1.99m
        90          31.5271            1.71m
       100          31.2324            1.42m
{'n_estimators': 270, 'learning_rate': 1.0, 'max_depth': 3, 'min_samples_split': 6, 'verbose': True}
      Iter       Train Loss   Remaining Time 
         1          32.2211           22.41m
         2          30.1379           21.27m
         3          27.7500           21.88m
         4          25.7870           21.95m
         5          24.8951           21.71m
         6          23.7614           21.81m
         7          23.1227           21.54m
         8          22.7603           21.54m
         9          22.3960           21.33m
        10          20.6329           21.33m
        20          17.9723           20.68m
        30          16.5654           19.94m
        40          15.7755           19.11m
        50          14.9747           18.24m
        60          14.4092           17.49m
        70          13.9623           16.60m
        80          13.4380           15.76m
        90          13.0095           14.94m
       100          12.7228           14.11m
       200          10.9251            5.81m
{'n_estimators': 230, 'learning_rate': 1.25, 'max_depth': 5, 'min_samples_split': 2, 'verbose': True}
      Iter       Train Loss   Remaining Time 
         1          29.7579           31.04m
         2          23.5572           31.81m
         3          21.9431           30.85m
         4          21.3697           30.93m
         5          20.5093           30.16m
         6          19.6211           30.38m
         7          18.7662           29.98m
         8          18.4279           29.87m
         9          18.0068           29.93m
        10          17.4914           30.02m
        20          14.8569           28.25m
        30          13.2521           27.08m
        40          12.2775           25.78m
        50          11.6064           24.33m
        60          10.9720           23.04m
        70          10.4394           21.68m
        80          10.0679           20.32m
        90           9.7418           18.99m
       100           9.3992           17.59m
       200           7.6657            4.05m
{'n_estimators': 190, 'learning_rate': 0.1, 'max_depth': 5, 'min_samples_split': 3, 'verbose': True}
      Iter       Train Loss   Remaining Time 
         1          38.2158           25.54m
         2          36.4021           25.34m
         3          34.8261           25.22m
         4          33.5305           25.09m
         5          32.1694           25.01m
         6          31.0684           24.94m
         7          29.9550           24.86m
         8          29.2165           24.66m
         9          28.1234           24.37m
        10          27.4048           24.05m
        20          22.0510           22.34m
        30          19.0590           21.12m
        40          17.2749           19.85m
        50          15.9423           18.63m
        60          15.0761           17.35m
        70          14.3654           16.10m
        80          13.9446           14.80m
        90          13.5145           13.47m
